emp_title,emp_length,state,homeownership,annual_income,verified_income,delinq_2y,months_since_last_delinq,num_historical_failed_to_pay,total_debit_limit,account_never_delinq_percent,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,installment,loan_status,balance,paid_total,paid_principal,paid_interest,paid_late_fees
cpa,4,CA,MORTGAGE,85000,Source Verified,0,NA,0,37800,100,0,debt_consolidation,individual,9000,36,16.01,316.46,Current,8402.95,941.38,597.05,344.33,0
home equity specialist ,10,PA,RENT,42000,Not Verified,0,35,0,46500,95.2,0,debt_consolidation,individual,7200,36,7.34,223.44,Current,6840.1,443.94,359.9,84.04,0
general manager,3,WI,RENT,36000,Not Verified,0,NA,1,4500,100,1,debt_consolidation,individual,6100,36,23.88,238.94,Current,5615.58,939.57,484.42,455.15,0
,NA,TX,OWN,17000,Not Verified,0,NA,0,22000,100,0,other,joint,2250,36,15.05,78.06,Current,1927.12,453.42,322.88,130.54,0
accounting supervisor,10,IN,OWN,37000,Not Verified,0,NA,0,12600,100,0,debt_consolidation,individual,10000,36,6.72,307.5,Current,8985.52,1226.27,1014.48,211.79,0
video management,1,CA,OWN,45000,Source Verified,0,NA,0,42200,100,0,debt_consolidation,individual,25000,36,21.45,947.67,Current,22942.47,3731.1,2057.53,1673.57,0
claims adjudicator,10,OH,MORTGAGE,40000,Verified,0,NA,1,11800,100,1,debt_consolidation,individual,16000,60,25.82,477.35,Fully Paid,0,16047.96893,16000,47.97,0
head of product design,2,CA,RENT,182000,Not Verified,1,10,0,51200,85.2,0,credit_card,individual,32000,60,14.08,745.92,Current,29785.98,4165.75,2214.02,1951.73,0
project manager,3,CA,RENT,51000,Verified,0,NA,1,20300,100,1,credit_card,individual,12000,36,15.05,416.28,Fully Paid,0,12006.525,12000,6.53,0
sales,10,MI,RENT,45000,Not Verified,0,NA,0,31900,100,0,debt_consolidation,individual,10000,36,9.44,320.05,Current,9023.01,1274.96,976.99,297.97,0
import booking and pricing rep,2,NY,MORTGAGE,31200,Verified,0,53,0,3700,58.8,0,debt_consolidation,individual,2200,36,17.09,78.54,Current,2007.09,304.76,192.91,111.85,0
receptionist,1,IL,RENT,27278,Not Verified,0,NA,0,6300,100,0,credit_card,individual,4800,36,16.01,168.78,Current,4481.56,512.75,318.44,194.31,0
business analysis/csu manager,10,GA,MORTGAGE,75000,Source Verified,0,NA,1,15400,100,1,home_improvement,individual,35000,60,10.9,759.25,Current,33663.94,2235.36,1336.06,899.3,0
supervisor,5,KS,RENT,100000,Not Verified,0,49,0,26000,89.5,0,credit_card,individual,35000,36,12.62,1172.9,Current,30890.38,5839.96,4109.62,1730.34,0
,NA,NY,OWN,42000,Verified,0,NA,0,6000,100,0,other,individual,10000,60,21.45,273.08,Current,9612.44,1080.4,387.56,692.84,0
clerk,10,NY,MORTGAGE,66000,Source Verified,0,NA,0,4300,100,0,major_purchase,joint,2400,36,10.41,77.91,Current,2227.24,230.95,172.76,58.19,0
formulation scientist,2,OH,RENT,89000,Not Verified,0,24,0,46100,95,0,credit_card,individual,19600,36,5.32,590.25,Current,17060.8,2945.46,2539.2,406.26,0
documentation supervisor,3,MA,MORTGAGE,50000,Verified,0,39,1,17300,95,1,debt_consolidation,individual,26000,60,21.85,715.88,Current,25259.29,2084.52,740.71,1343.81,0
director of operations,6,MD,MORTGAGE,99000,Not Verified,0,NA,1,27300,100,1,home_improvement,individual,12000,60,18.06,305.12,Current,11358.38,1495.5,641.62,853.88,0
supply chain manager,0,AR,RENT,150000,Source Verified,0,NA,0,39900,100,0,medical,individual,13000,36,5.32,391.5,Current,11655.63,1562.16,1344.37,217.79,0
executive assistant,3,NY,RENT,57000,Source Verified,0,24,0,25700,97.1,0,house,individual,11750,60,17.09,292.59,Current,11238.19,1175.76,511.81,663.95,0
shop foreman,10,NY,MORTGAGE,99000,Source Verified,0,NA,0,20700,100,0,debt_consolidation,individual,30000,60,9.93,636.38,Current,28825.95,1974.27,1174.05,800.22,0
research technician,6,MS,RENT,44000,Source Verified,0,NA,0,15300,100,0,credit_card,individual,7000,36,6.08,213.21,Current,6283.6,850.48,716.4,134.08,0
,NA,AZ,RENT,0,Not Verified,2,18,0,6200,86.7,0,debt_consolidation,joint,20000,60,17.09,498.02,Current,19128.86,1944.61,871.14,1073.47,0
senior data engineer,4,VA,RENT,97000,Not Verified,0,62,0,13000,81.8,0,other,individual,35000,36,16.01,1230.67,Current,32678.16,3629.75,2321.84,1307.91,0
mechanic/owner,10,IL,MORTGAGE,30000,Not Verified,0,NA,1,22300,100,1,credit_card,individual,10000,60,13.59,230.57,Current,9522.69,914.73,477.31,437.42,0
,NA,TN,OWN,50000,Source Verified,0,NA,0,29300,100,0,other,individual,20000,36,9.92,644.6,Current,18550.28,1922.78,1449.72,473.06,0
commercial insurance broker,5,CA,MORTGAGE,115000,Source Verified,0,26,0,0,64.5,0,small_business,individual,40000,60,15.04,952.44,Current,38629.65,2823.9,1370.35,1453.55,0
field operations supervisor,2,IL,MORTGAGE,80000,Not Verified,0,45,0,25100,92.9,0,credit_card,individual,12000,36,6.71,368.94,Current,11089.41,1102.35,910.59,191.76,0
server,0,OR,RENT,15000,Source Verified,0,NA,0,800,100,0,debt_consolidation,joint,16000,36,17.47,574.2,Current,14961.22,1753.66,1038.78,714.88,0
